entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Lebanon,0.0112,0.0107,0.0085,0.0169,0.0109,0.0119,0.0108,0.0152,0.0077,0.0063,0.0073,0.0103,0.0077,0.0073,0.0070,0.0064,0.0150
Aid,0.0111,0.0076,0.0076,0.0078,0.0092,0.0079,0.0091,0.0082,0.0081,0.0058,0.0060,0.0068,0.0058,0.0076,0.0079,0.0054,0.0150
C-SPAN,0.0111,0.0161,0.0308,0.0211,0.0111,0.0164,0.0184,0.0162,0.0113,0.0105,0.0104,0.0073,0.0063,0.0072,0.0086,0.0211,0.0150
Affirmative action,0.0105,0.0080,0.0079,0.0055,0.0036,0.0043,0.0039,0.0030,0.0029,0.0032,0.0024,0.0021,0.0020,0.0035,0.0027,0.0024,0.0150
Burma,0.0104,0.0062,0.0070,0.0067,0.0072,0.0046,0.0050,0.0059,0.0096,0.0085,0.0105,0.0093,0.0085,0.0072,0.0066,0.0051,0.0150
Taliban,0.0104,0.0027,0.0029,0.0013,0.0022,0.0040,0.0034,0.0015,0.0028,0.0024,0.0019,0.0029,0.0024,0.0016,0.0028,0.0065,0.0150
Arabian Peninsula,0.0104,0.0058,0.0047,0.0036,0.0036,0.0037,0.0050,0.0029,0.0033,0.0024,0.0025,0.0039,0.0034,0.0040,0.0028,0.0036,0.0150
Usama bin Laden,0.0098,0.0089,0.0146,0.0086,0.0078,0.0050,0.0067,0.0031,0.0115,0.0167,0.0047,0.0063,0.0082,0.0042,0.0029,0.0045,0.0150
Minimum wage,0.0098,0.0107,0.0108,0.0302,0.0190,0.0211,0.0187,0.0156,0.0194,0.1204,0.1115,0.0401,0.0309,0.0247,0.0298,0.0323,0.0150
Euthanasia,0.0098,0.0103,0.0061,0.0053,0.0053,0.0046,0.0043,0.0031,0.0047,0.0042,0.0038,0.0036,0.0028,0.0034,0.0033,0.0034,0.0150
American Armed Forces,0.0098,0.0076,0.0097,0.0089,0.0079,0.0063,0.0072,0.0057,0.0070,0.0059,0.0053,0.0060,0.0070,0.0071,0.0061,0.0106,0.0150
Foreign Service,0.0092,0.0027,0.0021,0.0019,0.0009,0.0007,0.0010,0.0006,0.0009,0.0006,0.0006,0.0004,0.0005,0.0005,0.0004,0.0003,0.0150
Estate tax in the United States,0.0092,0.0054,0.0035,0.0025,0.0035,0.0025,0.0025,0.0026,0.0022,0.0018,0.0019,0.0034,0.0022,0.0011,0.0015,0.0095,0.0150
Zimbabwe,0.0092,0.0107,0.0091,0.0061,0.0053,0.0058,0.0057,0.0031,0.0037,0.0043,0.0047,0.0057,0.0037,0.0038,0.0034,0.0029,0.0150
West Africa,0.0092,0.0058,0.0047,0.0040,0.0032,0.0024,0.0034,0.0022,0.0021,0.0025,0.0021,0.0027,0.0031,0.0030,0.0034,0.0026,0.0150
Capital gains tax,0.0092,0.0049,0.0076,0.0046,0.0035,0.0030,0.0068,0.0023,0.0104,0.0031,0.0038,0.0075,0.0036,0.0046,0.0065,0.0039,0.0150
Little League,0.0092,0.0120,0.0123,0.0139,0.0120,0.0152,0.0116,0.0137,0.0121,0.0106,0.0098,0.0094,0.0069,0.0105,0.0082,0.0068,0.0150
Libya,0.0092,0.0040,0.0059,0.0032,0.0029,0.0061,0.0164,0.0031,0.0089,0.0043,0.0041,0.0031,0.0035,0.0028,0.0045,0.0025,0.0150
Bulgaria,0.0092,0.0080,0.0070,0.0072,0.0069,0.0052,0.0055,0.0042,0.0048,0.0043,0.0038,0.0037,0.0037,0.0039,0.0039,0.0029,0.0150
Articles of Confederation,0.0092,0.0031,0.0026,0.0032,0.0029,0.0021,0.0029,0.0050,0.0049,0.0036,0.0043,0.0048,0.0050,0.0035,0.0049,0.0043,0.0150
Truman,0.0092,0.0170,0.0103,0.0091,0.0118,0.0092,0.0059,0.0052,0.0058,0.0062,0.0049,0.0062,0.0052,0.0090,0.0070,0.0061,0.0150
National Anthem,0.0092,0.0054,0.0062,0.0049,0.0056,0.0045,0.0041,0.0042,0.0077,0.0037,0.0064,0.0042,0.0060,0.0037,0.0076,0.0063,0.0150
National Debt of the United States,0.0092,0.0080,0.0082,0.0051,0.0050,0.0073,0.0111,0.0125,0.0150,0.0067,0.0067,0.0101,0.0111,0.0080,0.0053,0.0114,0.0150
Bali,0.0091,0.0071,0.0067,0.0076,0.0079,0.0074,0.0050,0.0057,0.0070,0.0048,0.0062,0.0083,0.0070,0.0086,0.0081,0.0102,0.0150
Baghdad,0.0091,0.0062,0.0041,0.0067,0.0033,0.0019,0.0028,0.0025,0.0021,0.0016,0.0012,0.0014,0.0016,0.0017,0.0011,0.0012,0.0150
Lobbying,0.0091,0.0062,0.0076,0.0078,0.0069,0.0048,0.0090,0.0055,0.0072,0.0039,0.0037,0.0049,0.0074,0.0089,0.0037,0.0041,0.0150
Congo,0.0085,0.0076,0.0062,0.0076,0.0059,0.0055,0.0053,0.0052,0.0059,0.0053,0.0048,0.0066,0.0051,0.0057,0.0047,0.0049,0.0150
Hispanic American,0.0085,0.0085,0.0082,0.0042,0.0063,0.0059,0.0044,0.0037,0.0033,0.0047,0.0037,0.0032,0.0027,0.0045,0.0052,0.0065,0.0150
California Institute of Technology,0.0085,0.0058,0.0053,0.0053,0.0027,0.0056,0.0057,0.0047,0.0034,0.0030,0.0022,0.0028,0.0036,0.0027,0.0020,0.0018,0.0150
Laura Bush,0.0085,0.0076,0.0050,0.0049,0.0026,0.0014,0.0009,0.0027,0.0007,0.0004,0.0005,0.0005,0.0005,0.0006,0.0016,0.0006,0.0150
Mali,0.0085,0.0076,0.0044,0.0046,0.0035,0.0042,0.0045,0.0023,0.0027,0.0069,0.0032,0.0039,0.0030,0.0035,0.0031,0.0027,0.0150
Gulf Coast,0.0079,0.0054,0.0070,0.0042,0.0058,0.0041,0.0025,0.0037,0.0047,0.0038,0.0058,0.0047,0.0043,0.0037,0.0035,0.0033,0.0150
Federal Housing Administration,0.0079,0.0085,0.0073,0.0053,0.0170,0.0264,0.0167,0.0138,0.0157,0.0126,0.0103,0.0141,0.0099,0.0109,0.0112,0.0080,0.0150
Somalia,0.0079,0.0062,0.0047,0.0076,0.0048,0.0064,0.0047,0.0070,0.0255,0.0044,0.0081,0.0050,0.0035,0.0048,0.0035,0.0043,0.0150
Alexander Graham Bell,0.0079,0.0036,0.0047,0.0023,0.0030,0.0021,0.0023,0.0019,0.0024,0.0019,0.0017,0.0015,0.0015,0.0024,0.0021,0.0012,0.0150
Dwight D. Eisenhower,0.0079,0.0054,0.0076,0.0063,0.0053,0.0074,0.0049,0.0056,0.0047,0.0061,0.0056,0.0064,0.0054,0.0089,0.0059,0.0103,0.0150
gun control,0.0079,0.0071,0.0041,0.0036,0.0048,0.0068,0.0025,0.0058,0.0026,0.0330,0.0068,0.0035,0.0133,0.0044,0.0031,0.0045,0.0150
NATO,0.0079,0.0089,0.0053,0.0029,0.0055,0.0048,0.0044,0.0052,0.0045,0.0050,0.0049,0.0061,0.0052,0.0136,0.0058,0.0232,0.0150
Sudan,0.0078,0.0143,0.0129,0.0084,0.0084,0.0085,0.0064,0.0094,0.0042,0.0048,0.0050,0.0083,0.0039,0.0051,0.0046,0.0033,0.0150
Elkhart,0.0078,0.0036,0.0047,0.0057,0.0046,0.0053,0.0058,0.0047,0.0060,0.0054,0.0059,0.0062,0.0070,0.0093,0.0065,0.0031,0.0150
Pentagon,0.0072,0.0067,0.0056,0.0046,0.0043,0.0040,0.0034,0.0041,0.0049,0.0044,0.0034,0.0040,0.0048,0.0039,0.0050,0.0041,0.0150
Tunisia,0.0072,0.0045,0.0047,0.0019,0.0035,0.0035,0.0047,0.0242,0.0029,0.0027,0.0028,0.0037,0.0029,0.0027,0.0026,0.0020,0.0150
Tax Cuts,0.0072,0.0071,0.0111,0.0046,0.0118,0.0131,0.0065,0.0041,0.0025,0.0007,0.0009,0.0016,0.0007,0.0016,0.0156,0.0058,0.0150
Cheney,0.0072,0.0049,0.0038,0.0097,0.0072,0.0027,0.0014,0.0022,0.0022,0.0035,0.0018,0.0016,0.0011,0.0012,0.0013,0.0048,0.0150
Jakarta,0.0072,0.0080,0.0035,0.0017,0.0037,0.0024,0.0027,0.0021,0.0013,0.0023,0.0024,0.0047,0.0030,0.0021,0.0015,0.0015,0.0150
Freddie Mac,0.0072,0.0062,0.0029,0.0034,0.0062,0.0077,0.0044,0.0053,0.0073,0.0039,0.0030,0.0025,0.0016,0.0021,0.0023,0.0015,0.0150
West Point,0.0072,0.0085,0.0097,0.0076,0.0062,0.0052,0.0069,0.0059,0.0060,0.0039,0.0041,0.0038,0.0041,0.0046,0.0043,0.0037,0.0150
Tariff,0.0072,0.0067,0.0097,0.0053,0.0049,0.0062,0.0067,0.0054,0.0052,0.0054,0.0061,0.0072,0.0059,0.0090,0.0076,0.0180,0.0150
Keystone,0.0066,0.0027,0.0047,0.0038,0.0042,0.0026,0.0030,0.0024,0.0028,0.0028,0.0018,0.0019,0.0028,0.0021,0.0022,0.0024,0.0150
COBRA,0.0066,0.0094,0.0067,0.0057,0.0082,0.0188,0.0107,0.0060,0.0046,0.0033,0.0032,0.0033,0.0027,0.0035,0.0034,0.0020,0.0150
Commerce Department,0.0066,0.0062,0.0023,0.0057,0.0032,0.0063,0.0033,0.0027,0.0024,0.0017,0.0016,0.0016,0.0014,0.0026,0.0016,0.0016,0.0150
Social Security,0.0066,0.0170,0.0038,0.0055,0.0098,0.0090,0.0115,0.0089,0.0081,0.0073,0.0110,0.0094,0.0102,0.0093,0.0120,0.0409,0.0150
Space exploration,0.0066,0.0040,0.0032,0.0027,0.0022,0.0016,0.0014,0.0021,0.0014,0.0017,0.0011,0.0012,0.0016,0.0016,0.0013,0.0017,0.0150
Bahrain,0.0066,0.0031,0.0059,0.0042,0.0040,0.0030,0.0059,0.0038,0.0032,0.0034,0.0030,0.0037,0.0051,0.0021,0.0016,0.0020,0.0150
Capitol,0.0066,0.0076,0.0091,0.0038,0.0039,0.0062,0.0044,0.0075,0.0052,0.0044,0.0046,0.0058,0.0061,0.0049,0.0087,0.0091,0.0150
Department of Energy,0.0066,0.0134,0.0094,0.0034,0.0049,0.0071,0.0051,0.0048,0.0033,0.0025,0.0018,0.0027,0.0016,0.0019,0.0014,0.0016,0.0150
Anti-abortion movements,0.0066,0.0062,0.0044,0.0040,0.0035,0.0031,0.0045,0.0026,0.0044,0.0018,0.0024,0.0026,0.0018,0.0021,0.0026,0.0070,0.0150
Warren Buffett,0.0065,0.0062,0.0044,0.0040,0.0052,0.0062,0.0048,0.0068,0.0294,0.0046,0.0067,0.0042,0.0066,0.0113,0.0109,0.0050,0.0150
Syria,0.0065,0.0103,0.0079,0.0065,0.0050,0.0042,0.0079,0.0051,0.0099,0.0118,0.0136,0.0109,0.0217,0.0187,0.0119,0.0123,0.0150
Drug Overdose,0.0065,0.0062,0.0094,0.0070,0.0104,0.0120,0.0083,0.0136,0.0128,0.0107,0.0117,0.0117,0.0153,0.0145,0.0162,0.0201,0.0150
Al Qaida,0.0065,0.0036,0.0073,0.0044,0.0049,0.0028,0.0040,0.0023,0.0024,0.0030,0.0024,0.0031,0.0016,0.0013,0.0008,0.0013,0.0150
National security,0.0065,0.0027,0.0032,0.0030,0.0032,0.0022,0.0036,0.0022,0.0013,0.0010,0.0015,0.0021,0.0017,0.0027,0.0021,0.0022,0.0150
ROTC,0.0059,0.0031,0.0067,0.0044,0.0053,0.0069,0.0060,0.0099,0.0053,0.0047,0.0053,0.0043,0.0042,0.0036,0.0041,0.0032,0.0150
Edison,0.0059,0.0054,0.0070,0.0065,0.0071,0.0092,0.0087,0.0101,0.0103,0.0089,0.0081,0.0075,0.0077,0.0103,0.0096,0.0089,0.0150
Defense of Marriage Act,0.0059,0.0000,0.0018,0.0000,0.0011,0.0000,0.0000,0.0006,0.0013,0.0015,0.0009,0.0005,0.0006,0.0005,0.0005,0.0003,0.0150
Legality of cannabis,0.0059,0.0045,0.0035,0.0025,0.0036,0.0152,0.0052,0.0047,0.0042,0.0059,0.0110,0.0057,0.0052,0.0062,0.0064,0.0082,0.0150
Military service,0.0059,0.0027,0.0029,0.0023,0.0026,0.0035,0.0041,0.0029,0.0024,0.0030,0.0030,0.0037,0.0025,0.0031,0.0024,0.0040,0.0150
Federal Tax Code,0.0059,0.0054,0.0047,0.0030,0.0023,0.0030,0.0042,0.0022,0.0021,0.0019,0.0020,0.0019,0.0016,0.0017,0.0018,0.0011,0.0150
Blacksburg,0.0053,0.0045,0.0050,0.0067,0.0068,0.0056,0.0052,0.0071,0.0059,0.0056,0.0044,0.0042,0.0046,0.0067,0.0046,0.0032,0.0150
Cape Town,0.0053,0.0031,0.0026,0.0038,0.0045,0.0053,0.0070,0.0035,0.0034,0.0030,0.0033,0.0042,0.0035,0.0046,0.0091,0.0030,0.0150
Border Patrol Agents,0.0053,0.0000,0.0053,0.0055,0.0035,0.0072,0.0041,0.0029,0.0031,0.0023,0.0025,0.0022,0.0023,0.0038,0.0029,0.0055,0.0150
Hoover Dam,0.0053,0.0000,0.0038,0.0029,0.0035,0.0025,0.0036,0.0043,0.0036,0.0024,0.0030,0.0026,0.0025,0.0027,0.0030,0.0025,0.0150
NAFTA,0.0053,0.0054,0.0032,0.0042,0.0046,0.0045,0.0025,0.0022,0.0034,0.0026,0.0017,0.0022,0.0018,0.0048,0.0043,0.1127,0.0150
John McCain,0.0053,0.0031,0.0076,0.0224,0.0875,0.0126,0.0122,0.0068,0.0067,0.0041,0.0050,0.0036,0.0049,0.0065,0.0078,0.0154,0.0150
Elyria,0.0053,0.0036,0.0018,0.0029,0.0030,0.0017,0.0017,0.0027,0.0029,0.0036,0.0041,0.0047,0.0039,0.0035,0.0032,0.0023,0.0150
Social programs in the United States,0.0053,0.0031,0.0035,0.0027,0.0022,0.0047,0.0041,0.0101,0.0058,0.0047,0.0047,0.0041,0.0039,0.0052,0.0043,0.0037,0.0150
National Security Agency,0.0053,0.0076,0.0155,0.0070,0.0063,0.0063,0.0043,0.0086,0.0053,0.0041,0.0153,0.0058,0.0050,0.0044,0.0043,0.0031,0.0150
Climate change,0.0053,0.0027,0.0029,0.0059,0.0073,0.0066,0.0084,0.0043,0.0052,0.0078,0.0101,0.0094,0.0094,0.0138,0.0103,0.0117,0.0150
Immigration to the United States,0.0053,0.0049,0.0070,0.0023,0.0039,0.0026,0.0021,0.0016,0.0020,0.0017,0.0024,0.0022,0.0024,0.0030,0.0028,0.0024,0.0150
Campaign finance,0.0053,0.0027,0.0038,0.0017,0.0033,0.0021,0.0094,0.0015,0.0021,0.0014,0.0016,0.0014,0.0018,0.0012,0.0018,0.0011,0.0150
First amendment,0.0053,0.0120,0.0079,0.0049,0.0084,0.0061,0.0102,0.0064,0.0065,0.0053,0.0050,0.0052,0.0057,0.0065,0.0074,0.0051,0.0150
Interstate Highway System,0.0052,0.0045,0.0026,0.0040,0.0036,0.0032,0.0030,0.0031,0.0025,0.0023,0.0089,0.0031,0.0033,0.0034,0.0028,0.0024,0.0150
Government spending,0.0052,0.0000,0.0023,0.0019,0.0029,0.0061,0.0046,0.0077,0.0026,0.0033,0.0017,0.0015,0.0025,0.0032,0.0018,0.0021,0.0150
World Trade Organization,0.0052,0.0058,0.0041,0.0027,0.0026,0.0027,0.0020,0.0030,0.0012,0.0016,0.0011,0.0012,0.0010,0.0014,0.0011,0.0009,0.0150
National Endowment for Democracy,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Damascus,0.0052,0.0027,0.0023,0.0023,0.0027,0.0016,0.0022,0.0029,0.0030,0.0026,0.0022,0.0025,0.0021,0.0029,0.0022,0.0040,0.0150
Hizballah,0.0052,0.0000,0.0000,0.0017,0.0012,0.0010,0.0012,0.0022,0.0007,0.0005,0.0004,0.0015,0.0008,0.0004,0.0007,0.0005,0.0150
Normandy,0.0052,0.0040,0.0032,0.0025,0.0017,0.0020,0.0044,0.0013,0.0016,0.0024,0.0022,0.0016,0.0014,0.0018,0.0019,0.0043,0.0150
Diversity Immigrant Visa,0.0052,0.0000,0.0000,0.0013,0.0010,0.0012,0.0006,0.0013,0.0010,0.0005,0.0007,0.0006,0.0006,0.0011,0.0038,0.0004,0.0150
Corporate tax,0.0052,0.0054,0.0059,0.0036,0.0030,0.0035,0.0039,0.0045,0.0037,0.0033,0.0027,0.0031,0.0030,0.0041,0.0048,0.0017,0.0150
American Dream,0.0046,0.0071,0.0032,0.0036,0.0030,0.0054,0.0036,0.0036,0.0041,0.0027,0.0036,0.0042,0.0033,0.0035,0.0036,0.0032,0.0150
First Lady,0.0046,0.0045,0.0023,0.0023,0.0019,0.0033,0.0012,0.0023,0.0028,0.0040,0.0028,0.0029,0.0076,0.0062,0.0079,0.0022,0.0150
Southeast Asia,0.0046,0.0058,0.0035,0.0027,0.0023,0.0025,0.0022,0.0015,0.0025,0.0023,0.0024,0.0040,0.0028,0.0029,0.0025,0.0023,0.0150
Great Plains,0.0046,0.0071,0.0032,0.0027,0.0027,0.0015,0.0023,0.0025,0.0024,0.0022,0.0021,0.0022,0.0026,0.0022,0.0019,0.0019,0.0150
Atlantic Ocean,0.0046,0.0062,0.0026,0.0027,0.0022,0.0033,0.0040,0.0033,0.0031,0.0026,0.0030,0.0033,0.0030,0.0024,0.0036,0.0030,0.0150
Yemen,0.0046,0.0040,0.0038,0.0032,0.0017,0.0033,0.0071,0.0040,0.0047,0.0037,0.0039,0.0281,0.0063,0.0286,0.0054,0.0058,0.0150
Cairo,0.0046,0.0071,0.0064,0.0032,0.0055,0.0061,0.0044,0.0083,0.0036,0.0024,0.0024,0.0033,0.0024,0.0021,0.0031,0.0028,0.0150
Coretta Scott King,0.0040,0.0027,0.1097,0.0055,0.0035,0.0020,0.0010,0.0011,0.0013,0.0026,0.0011,0.0036,0.0011,0.0011,0.0009,0.0010,0.0150
Steve Jobs,0.0040,0.0058,0.0035,0.0032,0.0061,0.0066,0.0339,0.0087,0.0309,0.0086,0.0091,0.0088,0.0129,0.0059,0.0065,0.0049,0.0150
Adnan Pachachi,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Kurds,0.0040,0.0045,0.0018,0.0019,0.0010,0.0019,0.0016,0.0016,0.0008,0.0009,0.0007,0.0017,0.0016,0.0018,0.0016,0.0013,0.0150
Federal Convention,0.0040,0.0027,0.0035,0.0019,0.0016,0.0017,0.0024,0.0020,0.0028,0.0022,0.0017,0.0025,0.0029,0.0019,0.0026,0.0024,0.0150
Sikh,0.0040,0.0027,0.0000,0.0017,0.0026,0.0020,0.0012,0.0010,0.0035,0.0021,0.0021,0.0012,0.0031,0.0023,0.0011,0.0014,0.0150
Voting Rights Act,0.0040,0.0000,0.0000,0.0015,0.0020,0.0010,0.0008,0.0006,0.0008,0.0007,0.0015,0.0010,0.0008,0.0014,0.0010,0.0010,0.0150
Tehran,0.0040,0.0000,0.0029,0.0013,0.0019,0.0022,0.0023,0.0026,0.0026,0.0039,0.0046,0.0057,0.0045,0.0014,0.0025,0.0016,0.0150
Voice of America,0.0040,0.0027,0.0038,0.0038,0.0017,0.0032,0.0044,0.0045,0.0054,0.0054,0.0046,0.0054,0.0049,0.0055,0.0041,0.0042,0.0150
Tax Reform,0.0040,0.0027,0.0018,0.0000,0.0014,0.0000,0.0000,0.0004,0.0004,0.0007,0.0003,0.0010,0.0004,0.0012,0.0130,0.0025,0.0150
Free trade,0.0040,0.0036,0.0018,0.0019,0.0024,0.0017,0.0017,0.0028,0.0013,0.0021,0.0015,0.0011,0.0012,0.0019,0.0013,0.0013,0.0150
Golden Gate Bridge,0.0039,0.0054,0.0029,0.0038,0.0040,0.0025,0.0036,0.0031,0.0043,0.0029,0.0030,0.0038,0.0028,0.0030,0.0031,0.0025,0.0150
South Asia,0.0039,0.0036,0.0035,0.0021,0.0026,0.0022,0.0022,0.0020,0.0018,0.0023,0.0016,0.0026,0.0018,0.0025,0.0023,0.0018,0.0150
Seoul,0.0039,0.0045,0.0053,0.0049,0.0032,0.0051,0.0047,0.0039,0.0053,0.0045,0.0041,0.0049,0.0044,0.0058,0.0061,0.0058,0.0150
Palestinian,0.0039,0.0036,0.0038,0.0044,0.0036,0.0025,0.0015,0.0017,0.0020,0.0007,0.0011,0.0015,0.0014,0.0014,0.0014,0.0017,0.0150
Flags of the confederate states,0.0039,0.0027,0.0029,0.0032,0.0016,0.0036,0.0021,0.0020,0.0024,0.0027,0.0031,0.0023,0.0057,0.0085,0.0030,0.0034,0.0150
Affordable Care Act,0.0039,0.0000,0.0018,0.0023,0.0023,0.0025,0.0036,0.0094,0.0106,0.0301,0.0744,0.0400,0.0299,0.0356,0.0179,0.0170,0.0150
Gitmo,0.0039,0.0049,0.0026,0.0030,0.0033,0.0098,0.0035,0.0024,0.0022,0.0017,0.0063,0.0204,0.0079,0.0009,0.0247,0.0012,0.0150
Master Lock,0.0039,0.0027,0.0029,0.0019,0.0009,0.0022,0.0016,0.0020,0.0084,0.0017,0.0017,0.0016,0.0018,0.0017,0.0017,0.0014,0.0150
Shi'a,0.0039,0.0067,0.0041,0.0074,0.0029,0.0022,0.0025,0.0038,0.0022,0.0028,0.0014,0.0048,0.0037,0.0024,0.0021,0.0021,0.0150
Interior Department,0.0039,0.0000,0.0018,0.0023,0.0023,0.0021,0.0012,0.0018,0.0009,0.0008,0.0008,0.0006,0.0006,0.0011,0.0008,0.0005,0.0150
Genetically modified organism,0.0039,0.0054,0.0038,0.0025,0.0026,0.0035,0.0034,0.0038,0.0056,0.0085,0.0122,0.0115,0.0103,0.0116,0.0080,0.0069,0.0150
Abortion-rights movement,0.0039,0.0036,0.0050,0.0021,0.0016,0.0032,0.0009,0.0015,0.0023,0.0010,0.0013,0.0011,0.0008,0.0013,0.0010,0.0041,0.0150
Flag desecration,0.0039,0.0027,0.0000,0.0000,0.0000,0.0012,0.0000,0.0006,0.0004,0.0004,0.0000,0.0003,0.0002,0.0004,0.0002,0.0004,0.0150
Biden,0.0000,0.0000,0.0018,0.0046,0.0030,0.0171,0.0143,0.0166,0.0159,0.0353,0.0317,0.0292,0.0384,0.0130,0.0048,0.0128,0.0150
ICE,0.0000,0.0045,0.0032,0.0061,0.0039,0.0047,0.0041,0.0064,0.0046,0.0041,0.0047,0.0028,0.0046,0.0118,0.0106,0.0476,0.0150
Romney,0.0000,0.0000,0.0021,0.0070,0.0840,0.0012,0.0036,0.0027,0.0966,0.0088,0.0089,0.0112,0.0044,0.0021,0.0028,0.0346,0.0150
Scott Kelly,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0006,0.0000,0.0003,0.0000,0.0142,0.0004,0.0003,0.0005,0.0004,0.0150
John Boehner,0.0000,0.0000,0.0023,0.0013,0.0000,0.0019,0.0080,0.0571,0.0306,0.0479,0.0717,0.0661,0.0080,0.0015,0.0011,0.0030,0.0150
MS-13,0.0000,0.0000,0.0097,0.0023,0.0032,0.0025,0.0017,0.0012,0.0013,0.0017,0.0011,0.0012,0.0011,0.0013,0.0872,0.1122,0.0150
Sam Alito,0.0000,0.0000,0.0469,0.0000,0.0011,0.0009,0.0410,0.0017,0.0009,0.0010,0.0010,0.0011,0.0005,0.0010,0.0007,0.0019,0.0150
American Recovery and Reinvestment Act,0.0000,0.0000,0.0000,0.0000,0.0308,0.1681,0.0133,0.0046,0.0021,0.0013,0.0009,0.0007,0.0008,0.0010,0.0008,0.0005,0.0150
Violence Against Women's Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0006,0.0004,0.0241,0.0005,0.0004,0.0004,0.0007,0.0006,0.0005,0.0150
Second Amendment,0.0000,0.0000,0.0047,0.0030,0.0026,0.0033,0.0023,0.0034,0.0029,0.0115,0.0041,0.0032,0.0094,0.0031,0.0065,0.0033,0.0150
Marine,0.0000,0.0000,0.0018,0.0015,0.0019,0.0022,0.0017,0.0014,0.0019,0.0335,0.0014,0.0011,0.0014,0.0012,0.0014,0.0013,0.0150
Steve Scalise,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0008,0.0149,0.0011,0.0150
Rubio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0015,0.0043,0.1956,0.0041,0.0054,0.0170,0.0036,0.0057,0.0074,0.0150
Gabby Giffords,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0402,0.0591,0.0064,0.0012,0.0046,0.0030,0.0007,0.0006,0.0009,0.0150
Ebola,0.0000,0.0036,0.0038,0.0021,0.0024,0.0022,0.0014,0.0017,0.0016,0.0014,0.0009,0.0313,0.0054,0.0038,0.0041,0.0030,0.0150
Chain Migration,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0165,0.0001,0.0150
opioids,0.0000,0.0027,0.0035,0.0019,0.0033,0.0041,0.0038,0.0044,0.0041,0.0043,0.0044,0.0057,0.0062,0.0106,0.0233,0.0184,0.0150
Detroit Manufacturing Systems,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
William ``Ryan'' Owens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1260,0.0003,0.0001,0.0150
Victims of Immigration Crime Engagement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0150
Jamiel Shaw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0000,0.0000,0.0150
Kayla Cuevas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0150
Sandy Keplinger,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Steve Staub,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Nick Chute,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Hurricane Harvey,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Byron Norwood,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Nisa Mickens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Ben Erler,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Denisha Merriweather,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
